City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descrition
79,Nago,JP,26.5881,127.9761,77.45,85,100,14.0,moderate rain
80,Victoria,HK,22.2855,114.1577,91.26,76,97,1.99,overcast clouds
81,Hambantota,LK,6.1241,81.1185,75.54,100,75,6.91,moderate rain
82,Neyshabur,IR,36.2133,58.7958,73.15,38,0,1.99,clear sky
83,Saint George,US,37.1041,-113.5841,88.63,49,0,13.8,clear sky
84,Kalawit,PH,8.0667,122.5167,83.44,75,100,2.57,overcast clouds
85,Ulaangom,MN,49.9811,92.0667,64.0,72,100,4.81,light rain
86,Arawa,PG,-6.2132,155.5367,87.6,62,99,5.88,overcast clouds
87,Bukachacha,RU,52.9833,116.9167,62.67,80,100,2.44,overcast clouds
88,Luau,AO,-10.7073,22.2247,61.38,30,0,4.03,clear sky
89,Rikitea,PF,-23.1203,-134.9692,72.46,73,100,23.82,light rain
90,Viedma,AR,-40.8135,-62.9967,45.23,70,100,6.85,overcast clouds
91,Sioux Lookout,CA,50.1001,-91.917,64.47,94,100,10.36,overcast clouds
92,Bonavista,CA,48.6499,-53.1147,63.23,80,88,5.79,overcast clouds
93,Avarua,CK,-21.2078,-159.775,77.05,73,20,14.97,few clouds
94,Severo-Kurilsk,RU,50.6789,156.125,54.7,81,73,10.47,broken clouds
95,Tecoanapa,MX,16.5167,-98.75,83.17,76,100,9.24,overcast clouds
96,Nyurba,RU,63.2842,118.3319,73.99,62,100,5.28,overcast clouds
97,Port Macquarie,AU,-31.4333,152.9167,63.7,59,100,8.14,overcast clouds
98,Swan Hill,AU,-35.3378,143.5544,53.82,65,0,11.07,clear sky
99,Leningradskiy,RU,69.3833,178.4167,51.37,64,49,8.19,scattered clouds
100,Benghazi,LY,32.1167,20.0667,79.77,77,0,9.04,clear sky
101,Castro,BR,-24.7911,-50.0119,52.38,78,0,2.42,clear sky
102,Carauari,BR,-4.8828,-66.8958,79.63,71,87,0.65,overcast clouds
103,Guarne,CO,6.2805,-75.4435,61.83,75,100,5.75,overcast clouds
104,Ceres,US,37.5949,-120.9577,90.05,42,0,10.36,clear sky
105,Airai,TL,-8.9266,125.4092,69.22,63,60,2.84,broken clouds
106,Freeport,US,40.6576,-73.5832,79.5,75,0,6.91,clear sky
107,Saint-Philippe,RE,-21.3585,55.7679,67.59,81,44,13.56,scattered clouds
108,Omboue,GA,-1.5746,9.2618,71.87,92,39,8.9,scattered clouds
109,Tiksi,RU,71.6872,128.8694,40.64,94,100,17.74,moderate rain
110,Dikson,RU,73.5069,80.5464,41.25,94,100,9.55,overcast clouds
111,Bronte,IT,37.7895,14.8342,72.7,65,0,3.2,clear sky
112,Atkinson,US,42.8384,-71.147,80.51,65,0,6.91,clear sky
113,Egvekinot,RU,66.3167,-179.1667,54.72,47,21,4.12,few clouds
114,Padang,ID,-0.9492,100.3543,77.05,82,100,3.02,overcast clouds
115,Mercedes,AR,-34.6515,-59.4307,53.04,76,0,5.84,clear sky
116,Vila,PT,42.0304,-8.1588,67.08,67,0,3.87,clear sky
117,Dori,BF,14.0354,-0.0345,79.81,61,100,15.23,overcast clouds
118,New Norfolk,AU,-42.7826,147.0587,50.92,82,99,4.0,overcast clouds
119,Belomorsk,RU,64.5232,34.7668,51.82,96,99,4.0,overcast clouds
120,Kamen-Rybolov,RU,44.7481,132.0403,73.17,94,100,7.58,light rain
121,Canon City,US,38.441,-105.2424,86.16,27,40,16.11,scattered clouds
122,Makakilo City,US,21.3469,-158.0858,84.56,49,40,19.57,scattered clouds
123,Nikolskoye,RU,59.7035,30.7861,58.8,84,100,4.32,overcast clouds
124,Jamestown,US,42.097,-79.2353,74.84,72,20,4.61,few clouds
125,Narbonne,FR,43.0833,2.8333,82.63,37,0,12.59,clear sky
126,Berlevag,NO,70.8578,29.0864,57.2,93,90,2.28,overcast clouds
127,Iqaluit,CA,63.7506,-68.5145,47.93,82,75,10.36,broken clouds
128,Kloulklubed,PW,7.0419,134.2556,75.7,77,100,7.9,overcast clouds
129,Kandrian,PG,-6.2167,149.55,85.51,68,78,10.98,light rain
130,Tuktoyaktuk,CA,69.4541,-133.0374,64.4,48,40,3.44,scattered clouds
131,Magadan,RU,59.5667,150.8,58.53,88,100,7.81,overcast clouds
132,Koster,ZA,-25.863,26.8976,50.5,31,25,5.57,scattered clouds
133,Zhigansk,RU,66.7697,123.3711,70.47,65,48,3.33,scattered clouds
